sampleId,ParticipantId,collectionStart,collectionEnd,Lat,Long,EnoughMel: 34,melanogaster,simulans,mel/sim_female,suzukii,busckii,testacea,others,other,bait,location,DNAextraction,Note,Note,Note,Note,Note,Note,Note,Note,Note,Note,Note,Note,Note,Note,Note,Note,Note
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
